fund_id,fund_name,one_month,three_month,six_month,one_year,three_year,from_start
000376,华安中证细分医药ETF联接,1.14%,0.73%,3.41%,3.75%,--,24.50%
000378,上投双债增利C,-0.10%,0.20%,-0.68%,-4.05%,34.65%,44.59%
000356,南方丰元C,-0.18%,2.36%,0.65%,-3.98%,14.80%,24.62%
000355,南方丰元A,-0.09%,2.52%,0.83%,-3.60%,16.15%,26.43%
000380,景顺长城景益货币A,0.28%,0.93%,1.76%,3.14%,9.76%,13.23%
000385,景顺长城景颐双利债券A,-0.55%,1.83%,2.41%,2.27%,33.58%,44.40%
000381,景顺长城景益货币B,0.31%,0.99%,1.88%,3.38%,10.55%,14.25%
000371,民生加银现金宝货币A,0.34%,1.05%,1.94%,3.39%,10.96%,15.98%
000388,泰达宏利瑞利债券B,0.20%,3.31%,2.46%,0.56%,24.56%,32.91%
000389,广发天天红货币A,0.39%,0.98%,1.64%,2.95%,10.77%,15.77%
000390,华商优势行业,0.30%,-0.20%,-3.32%,1.26%,96.28%,113.65%
000394,融通通源短融债券A,0.09%,0.94%,1.22%,0.84%,10.22%,16.39%
